				ch1äpìx	ch2äpìx													
FFFFFCFC	0000002B	FFFFFA82	FFFFFDDD	-86.812	-111.25	-103.02	deg	0	----	008A	34.5							
FFFFFD0C	48	FFFFFA8B	FFFFFDF8	-84.56	-110.41	-101.75	deg	0	----	008A	34.5							
FFFFFCE5	0000002A	FFFFFAD8	FFFFFCBE	-86.976	-													
FFFFFD1B	26	FFFFFAA5	FFFFFD29	-87.064	-117.93	-108.06	deg	0	----	008A	34.5							
FFFFFCD3	0000003B	FFFFFB29	FFFFFCDC	-85.849	-122.98	-109.95	deg	0	----	008A	34.5							
FFFFFD2F	35	FFFFF9FA	FFFFFED5	-85.796	-100.97	-96.204	deg	0	----	008A	34.5							
FFFFFD17	29	FFFFFA9B	FFFFFD74	-86.85	-115.27	-106.03	deg	0	----	008A	34.5							
FFFFFCE3	36	FFFFFB15	FFFFFCE9	-86.124	-122.14	-109.72	deg	0	----	008A	34.5							
FFFFFCED	0000004A	FFFFFA79	FFFFFE2A	-84.628	-108.37	-100.19	deg	0	----	008A	34.5							
FFFFFD1A	28	FFFFFAA1	FFFFFD9D	-86.914	-113.95	-105.09	deg	0	----	008A	34.5							
FFFFFCF1	32	FFFFFB1B	FFFFFCDA	-86.346	-122.75	-110.37	deg	0	----	008A	34.5							
FFFFFCE8	49	FFFFFA68	FFFFFE1D	-84.734	-108.63	-100.44	deg	0	----	008A	34.5							
FFFFFD13	47	FFFFF9FA	FFFFFEF3	-84.585	-99.896	-94.94	deg	0	----	008A	34.5							
FFFFFD21	29	FFFFFAB7	FFFFFDA4	-86.807	-114.05	-105.09	deg	0	----	008A	34.5							
FFFFFCE9	46	FFFFFA65	FFFFFE0A	-84.943	-109.28	-100.98	deg	0	----	008A	34.5							
FFFFFD0F	55	FFFFFA26	FFFFFEB3	-83.56	-102.53	-96.287	deg	0	----	008A	34.5							
FFFFFD17	38	FFFFFA9F	FFFFFDDD	-85.701	-111.66	-103.02	deg	0	----	008A	34.5							
FFFFFCFF	18	FFFFFAD5	FFFFFD44	-88.212	-117.88	-107.9	deg	0	----	008A	34.5							
FFFFFD07	58	FFFFFA51	FFFFFE58	-83.404	-106.24	-98.622	deg	0	----	008A	34.5							
FFFFFD1A	46	FFFFFA94	FFFFFDFC	-84.611	-110.39	-101.82	deg	0	----	008A	34.5							
FFFFFD01	0000001C	FFFFFAAE	FFFFFD9D	-87.909	-114.16	-105.31	deg	0	----	008A	34.5							
FFFFFCF1	25	FFFFFA6A	FFFFFDE8	-87.295	-110.54	-102.7	deg	0	----	008A	34.5							
FFFFFD14	0000004E	FFFFFAC3	FFFFFDB3	-84.047	-113.71	-103.74	deg	0	----	008A	34.5							
FFFFFCF8	0000001A	FFFFFA9D	FFFFFDBB	-88.081	-112.84	-104.44	deg	0	----	008A	34.5							
FFFFFCF9	22	FFFFFA2F	FFFFFE46	-87.488	-106.53	-100.21	deg	0	----	008A	34.5							
FFFFFD15	54	FFFFFA8D	FFFFFDEE	-83.584	-110.8	-101.76	deg	0	----	008A	34.5							
FFFFFCF2	0000001E	FFFFFA83	FFFFFDD4	-87.803	-111.59	-103.52	deg	0	----	008A	34.5							
FFFFFD00	28	FFFFFA3D	FFFFFE36	-87.019	-107.25	-100.55	deg	0	----	008A	34.5							
FFFFFD11	51	FFFFFA98	FFFFFDE5	-83.844	-111.27	-102.1	deg	0	----	008A	34.5							
FFFFFD07	0000004B	FFFFFAC5	FFFFFDAA	-84.371	-114.06	-103.98	deg	0	----	008A	34.5							
FFFFFCFD	26	FFFFFA59	FFFFFE09	-87.178	-109.16	-101.84	deg	0	----	008A	34.5							
FFFFFD08	0000004E	FFFFFA76	FFFFFE24	-84.14	-108.55	-100.35	deg	0	----	008A	34.5							
FFFFFD10	0000004B	FFFFFABE	FFFFFDB0	-84.304	-113.74	-103.84	deg	0	----	008A	34.5							
FFFFFCF7	32	FFFFFAB0	FFFFFD84	-86.318	-115.06	-105.33	deg	0	----	008A	34.5							
FFFFFD14	37	FFFFFA74	FFFFFE1E	-85.795	-108.74	-101.14	deg	0	----	008A	34.5							
FFFFFD11	46	FFFFFACA	FFFFFD75	-84.675	-116.01	-105.57	deg	0	----	008A	34.5							
FFFFFCF9	51	FFFFFA86	FFFFFDEE	-84.033	-110.7	-101.65	deg	0	----	008A	34.5							
FFFFFCF2	33	FFFFFA4D	FFFFFE5F	-86.269	-105.95	-99.276	deg	0	----	008A	34.5							
FFFFFD17	0000003B	FFFFFAC5	FFFFFD65	-85.472	-116.47	-106.26	deg	0	----	008A	34.5							
FFFFFD04	67	FFFFFA6A	FFFFFE3A	-82.322	-107.61	-99.089	deg	0	----	008A	34.5							
FFFFFCEA	0000003A	FFFFFA60	FFFFFE53	-85.801	-106.59	-99.446	deg	0	----	008A	34.5							
FFFFFD00	6	FFFFFAAA	FFFFFD97	-89.552	-114.3	-105.97	deg	0	----	008A	34.5							
FFFFFD05	0000006D	FFFFFA6D	FFFFFE15	-81.87	-108.98	-99.895	deg	0	----	008A	34.5							
FFFFFCE5	43	FFFFFA6C	FFFFFE4C	-85.183	-106.97	-99.425	deg	0	----	008A	34.5							
FFFFFD0B	FFFFFFFF	FFFFFA98	FFFFFDCE	-90.076	-112.1	-104.73	deg	0	----	008A	34.5							
FFFFFD1B	24	FFFFFAAB	FFFFFD78	-87.219	-115.39	-106.2	deg	0	----	008A	34.5							
FFFFFCF1	0000006F	FFFFFA93	FFFFFDC9	-81.931	-112.2	-101.85	deg	0	----	008A	34.5							
FFFFFD17	4	FFFFFA81	FFFFFDFA	-89.692	-110.21	-103.43	deg	0	----	008A	34.5							
FFFFFD11	0000001C	FFFFFAAD	FFFFFD89	-87.865	-114.84	-105.92	deg	0	----	008A	34.5							
FFFFFCEB	0000006B	FFFFFAA1	FFFFFDBA	-82.277	-112.94	-102.38	deg	0	----	008A	34.5							
FFFFFCFB	50	FFFFFA61	FFFFFE1F	-84.091	-108.48	-100.27	deg	0	----	008A	34.5							
FFFFFD09	27	FFFFFAB7	FFFFFDB1	-87.059	-113.59	-104.64	deg	0	----	008A	34.5							
FFFFFCE6	60	FFFFFAB2	FFFFFDA5	-83.106	-113.94	-103.25	deg	0	----	008A	34.5							
FFFFFCFF	40	FFFFFA5F	FFFFFE04	-85.243	-109.41	-101.36	deg	0	----	008A	34.5							
FFFFFD1A	17	FFFFFA63	FFFFFE0B	-88.225	-109.22	-102.37	deg	0	----	008A	34.5							
FFFFFCF3	55	FFFFFAB3	FFFFFDC4	-83.789	-112.85	-102.83	deg	0	----	008A	34.5							
FFFFFD09	32	FFFFFA55	FFFFFE3E	-86.231	-107.23	-100.25	deg	0	----	008A	34.5							
FFFFFD07	0000002A	FFFFFA7B	FFFFFDA6	-86.841	-113.07	-104.44	deg	0	----	008A	34.5							
FFFFFCF9	0000004F	FFFFFAB8	FFFFFD59	-84.18	-116.66	-105.75	deg	0	----	008A	34.5							
FFFFFD08	0000001C	FFFFFA73	FFFFFE62	-87.89	-106.24	-100.03	deg	0	----	88	34							
FFFFFD02	37	FFFFFAA1	FFFFFD28	-85.893	-117.89	-107.45	deg	0	----	88	34							
FFFFFD0F	0000005E	FFFFFA73	FFFFFD8C	-82.884	-113.84	-103.8	deg	0	----	88	34							
FFFFFCFF	0000002F	FFFFFA88	FFFFFE70	-86.503	-105.94	-99.244	deg	0	----	88	34							
FFFFFD0B	46	FFFFFA84	FFFFFD76	-84.717	-114.84	-105.02	deg	0	----	88	34							
FFFFFD22	62	FFFFFA42	FFFFFDB7	-82.395	-111.7	-102.46	deg	0	----	88	34							
FFFFFCF6	0000002A	FFFFFA9C	FFFFFE1F	-86.91	-109.21	-101.49	deg	0	----	88	34							
FFFFFCE4	11	FFFFFAD4	FFFFFE1D	-88.777	-110.04	-102.39	deg	0	----	88	34							
FFFFFD1E	0000005E	FFFFFA50	FFFFFD86	-82.741	-113.53	-103.82	deg	0	----	88	34							
FFFFFCF7	0000003B	FFFFFAA1	FFFFFE27	-85.658	-108.98	-100.88	deg	0	----	88	34							
FFFFFCF2	16	FFFFFAAE	FFFFFE5C	-88.389	-107.13	-100.51	deg	0	----	88	34							
FFFFFD08	33	FFFFFA5B	FFFFFDBB	-86.161	-111.9	-103.51	deg	0	----	88	34							
FFFFFD04	0000003C	FFFFFACD	FFFFFDF0	-85.51	-111.63	-102.59	deg	0	----	88	34							
FFFFFCF3	26	FFFFFA7D	FFFFFE71	-87.214	-105.79	-99.352	deg	0	----	88	34							
FFFFFCF8	37	FFFFFA37	FFFFFDEA	-85.946	-109.82	-101.98	deg	0	----	88	34							
FFFFFD1A	45	FFFFFAB5	FFFFFD4E	-84.687	-116.98	-106.49	deg	0	----	88	34							
FFFFFCED	0000002D	FFFFFA59	FFFFFE71	-86.727	-105.41	-99.004	deg	0	----	88	34							
FFFFFCEF	34	FFFFFA66	FFFFFDB0	-86.21	-112.43	-103.67	deg	0	----	88	34							
FFFFFD1C	0000003E	FFFFFACD	FFFFFD59	-85.211	-117.02	-106.59	deg	0	----	88	34							
FFFFFD1C	0000003F	FFFFFA94	FFFFFE2A	-85.134	-108.7	-100.82	deg	0	----	88	34							
FFFFFCEC	31	FFFFFA8B	FFFFFD95	-86.442	-113.89	-104.62	deg	0	----	008A	34.5							
FFFFFD1E	39	FFFFFAE5	FFFFFD49	-85.583	-118	-107.32	deg	0	----	008A	34.5							
FFFFFD18	45	FFFFFA8F	FFFFFE14	-84.701	-109.45	-101.19	deg	0	----	008A	34.5							
FFFFFCE7	0000003C	FFFFFA45	FFFFFE6B	-85.673	-105.43	-98.679	deg	0	----	008A	34.5							
FFFFFCF9	0000002A	FFFFFA6C	FFFFFDE9	-86.898	-110.53	-102.61	deg	0	----	008A	34.5							
FFFFFD04	46	FFFFFABB	FFFFFDB5	-84.765	-113.51	-103.74	deg	0	----	008A	34.5							
FFFFFCEC	0000003F	FFFFFA5D	FFFFFE53	-85.429	-106.55	-99.316	deg	0	----	008A	34.5							
FFFFFD12	23	FFFFFA54	FFFFFE2F	-87.328	-107.75	-101.04	deg	0	----	008A	34.5							
FFFFFD14	0000002D	FFFFFAC1	FFFFFD59	-86.557	-116.82	-106.86	deg	0	----	008A	34.5							
FFFFFCF5	46	FFFFFA52	FFFFFE66	-84.865	-105.74	-98.657	deg	0	----	008A	34.5							
FFFFFD1C	0000001B	FFFFFA50	FFFFFE4C	-87.91	-106.67	-100.55	deg	0	----	008A	34.5							
FFFFFD0E	0000002E	FFFFFAC5	FFFFFD64	-86.509	-116.51	-106.55	deg	0	----	008A	34.5							
FFFFFCEC	0000005A	FFFFFAC9	FFFFFD73	-83.484	-116.06	-104.85	deg	0	----	008A	34.5							
FFFFFD19	18	FFFFFA5B	FFFFFE37	-88.15	-107.55	-101.19	deg	0	----	008A	34.5							
FFFFFD19	0000002C	FFFFFAB0	FFFFFDAA	-86.611	-113.73	-104.75	deg	0	----	008A	34.5							
FFFFFCF2	0000005A	FFFFFAB3	FFFFFD9E	-83.435	-114.2	-103.66	deg	0	----	008A	34.5							
FFFFFCE7	0000004D	FFFFFA7D	FFFFFDED	-84.454	-110.62	-101.63	deg	0	----	008A	34.5							
FFFFFD23	0000001F	FFFFFA92	FFFFFDE4	-87.578	-111.23	-103.48	deg	0	----	008A	34.5							
FFFFFCF6	0000005D	FFFFFA9C	FFFFFDC5	-83.183	-112.47	-102.48	deg	0	----	008A	34.5							
FFFFFCE4	57	FFFFFA9C	FFFFFDAA	-83.763	-113.42	-103.21	deg	0	----	008A	34.5							
